nume_boala,simptome
Abcesul subfrenic,"Febra, Durere abdominală severă localizată în epigastru și hipocondru, Leucocitoză, Tuse uscată, Febra moderată și intermitentă (în faze incipiente), Durere abdominală moderată care crește în intensitate la atingerea
               hipocondrului drept sau stâng (în faze incipiente), Pierderea poftei de mâncare, Transpirații, Slăbiciune, Sensibilitate abdominală, Umflare abdominală, Frisoane, Greață, Vărsături, Febră crescută (în faze avansate), Durere abdominală intensă (în faze avansate), Icter (colorarea în galben a pielii, mucoaselor şi a albului ochilor), Confuzie mintală, Tahicardie (frecvență cardiacă crescută), Respirație scurtă și rapidă, Tensiune musculară la palparea abdomenului superior, Modificări ale sunetelor respiratorii (detectate la percuția toracică)"
Abdomenul acut,"Durere abdominală cu debut brusc și apariție recentă, Durere abdominală cu debut gradat, Durere colicativă (rezultatul hiperperistaltismului), Durere persistentă (proces inflamator sau infecțios), Durere epigastrică (poate corespunde stomacului, duodenului 1 și 2,
               sistemului hepatobiliar, splinei și pancreasului), Durere periombilicală (segmentul de tub digestiv de la duodenul 2 pana
               la două treimi proximale ale colonului transvers), Durere suprapubiană (restul tubului digestiv pana la canalul anal), Iradierea durerii în umărul ipsilateral (în cazul iritării diafragmului), Iradierea durerii în unghiul inferior al scapulei drepte (colica
               biliară), Iradierea durerii posterior (pancreas și aortă), Durere abdominală difuză ameliorată de imobilizare, Efort respirator redus (în inflamația colecistului), Febră, Frisoane, Greață, Vărsături (pot fi bilioase, hemoragice sau fecaloide), În apendicită, durerea precede vărsăturile, Tulburări de tranzit intestinal, Scădere ponderală, Inapetență, Prezența sângelui în scaun, Dismenoree (la femei), Întârzierea menstruației (la femei, poate sugera sarcină extrauterină), Neliniște, agitație (pacient cu colică, ischemie mezenterică), Imobilitate (pacient cu peritonită difuză), Decubit dorsal preferat (durere pancreatică sau retroperitoneală), Letargie, status mental alterat (sepsis, diselectrolitemie), Tahicardie, Hipotensiune arterială, Distensia abdomenului, Cicatrici postoperatorii, Apărare musculară, Contractură musculară, Sensibilitate la palpare abdominală, Regiuni abdominale tumefiate sau indurate, Zgomote de obstrucție (borborisme) la auscultația abdomenului, Absența zgomotelor intestinale (ileus din peritonita difuză), Sensibilitate la tușeul rectal, Prezența de sânge, puroi sau mucus pe mănușa de tușeu rectal, Semnul Murphy pozitiv (în colecistită), Semnul psoasului pozitiv (în apendicită), Semnul Rovsing pozitiv (în apendicită), Semnul Grey Turner (echimoze pe flancuri, în pancreatită severă), Semnul Cullen (echimoză periombilicală, în pancreatită severă), Crampe periombilicale intermitente (în ocluzia intestinului subțire), Constipație (în obstrucția intestinului gros), Masă abdominală pulsatilă și sensibilă (în anevrism aortic), Puls inegal la nivelul membrelor (în anevrism aortic), Indigestie și disconfort abdominal (în apendicită, premergător durerii), Durere testiculară (posibil în apendicită), Icter (manifestare inconstantă în colecistită), Durere în bară cu iradiere dorsală (în pancreatită acută), Extremități reci, tegumente transpirate, puls slab (în pancreatită
               severă/șoc), Peristaltism vizibil ocazional la nivelul peretelui abdominal (în
               ocluzia intestinului subțire), Durere în hipogastru (în obstrucția intestinului gros), Vărsături fecaloide (în obstrucția intestinală avansată), Durere abdominală constantă, severă asociată cu vomă și diaree (în
               ischemie mezenterică), Durere abdominală cu iradiere pe flancuri și dorsal (în disecția de
               anevrism aortic)"
Abdomenul cronic dureros la copil,"Episoade paroxistice dureroase (cel puţin cȃte un episod ȋn fiecare
               lună, timp de trei luni consecutiv), Durere de intensitate variabilă, Repercusiuni asupra activităţii zilnice a copilului, Greţuri, Vărsături, Tahicardie, Palpitaţii, Tulburări de tranzit (constipaţie sau diaree), Distensie abdominală, Durere localizată periombilical, Durere localizată la nivelul abdomenului inferior, Melenă (în contextul Sindromului Zollinger-Elison), Scaune sanghinolente (în contextul Invaginației intestinale), Anorexie, Disgeuzie (senzaţie de amar ȋn gură), Meteorism abdominal, Tulburări micţionale (disurie, polakiurie), Sindrom febril, Cefalee, Transpiraţii reci (în contextul Hipoglicemiei), Convulsii (în contextul Hipoglicemiei), Comă (în contextul Hipoglicemiei), Durere epigastrică, Durere cu iradiere retrosternală (Durere esofagiană), Arsură (Durere esofagiană), Regurgitaţii acide sau alimentare, Pirozis, Durere localizată la nivelul hipocondrului drept, Durere cu caracter de crampă, Durere cu caracter de foame dureroasă, Durere localizată la nivelul abdomenului mijlociu, Durere localizată la nivelul cadrului colic, Durere cu iradiere spre sacrum, Durere cu iradiere spre organele genitale externe, Durere cu caracter colicativ, Durere cu iradiere la nivelul umărului stȃng (Durere pancreatică), Steatoree, Icter, Durere localizată la nivelul foselor iliace, Durere cu iradiere ȋn umărul drept (Durere hepato-biliară), Hematurie, Disurie, Astenie (în durerea psihogenă), Ameţeli (în durerea psihogenă), Enurezis (în durerea psihogenă), Encoprezis (în durerea psihogenă), Insomnie (în durerea psihogenă), Hemicranie (în migrena abdominală), Fotofobie (în migrena abdominală)"
Abetalipoproteinemia (sindromul Bassen-Kornzweig),"Absorbție anormală a grăsimilor din alimentație, Absorbție anormală a vitaminelor liposolubile (A, D, E, K) din
               alimentație, Deficit de lipide, Deficit de vitamine liposolubile, Vărsături, Diaree cronică, Anorexie, Scădere în greutate, Malabsorbție, Nivel crescut al transaminazelor, Hepatomegalie (ficat mărit), Steatoză hepatică (ficat gras), Neuropatie periferică, Tremor, Nistagmus, Pierderea reflexelor tendinoase, Întârzieri în dezvoltarea intelectuală, Retard mental (aproximativ o treime dintre pacienți), Atrofie musculară, Cardiomiopatie, Reducerea câmpului vizual, Dificultăți ale vederii nocturne, Paralizia mușchilor oculomotori, Scolioză, Picior strâmb congenital, Acantocitoză (eritrocite deformate), Viteză de sedimentare a hematiilor (VSH) foarte scăzută, Anemie (prin deficit de fier, acid folic sau hemoliză), Hemoliză, Trombocitopenie, Pancitopenie, Steatoree (prezența grăsimilor în materiile fecale), Valori scăzute ale VLDL, LDL și colesterolului total"
Abrazia dentară,"Uzura smalțului și dentinei, Transformarea punctelor de contact în arii de contact, Atenuarea caracteristicilor primare ale dinților (autoșlefuirea
               crestelor cuspidiene și a marginilor tăioase), Distrugerea stratului de smalț, Afectarea dentinei, Sensibilitate la rece, Durere la stimuli chimici (alimente dulci), Durere la stimuli mecanici (atingere), Suprafețe dentare neregulate (în abrazia Ad palatum)"
Abruptio placentae,"Durere abdominală violentă, Stare de șoc, Sângerare cu sânge maroniu/negricios, necoagulabil, Paloare, Transpirații reci, Senzație de sete, Anxietate, Hipotensiune arterială, Tahicardie, Uter contractat, Bătăile cordului fetal nu se percep sau sunt alterate"
Acalazia cardiei,"dificultate la inghitit (disfagie) pentru alimente solide, disfagie pentru lichide, regurgitarea alimentelor nedigerate la scurt timp dupa masa, tuse nocturna (cauzată de regurgitare), aspiratia alimentelor in trahee, durere toracica asociata cu alimentatia, arsuri digestive (pirozis), scadere ponderala"
Acanthosis nigricans,"Pete de culoare închisă pe piele, Piele îngroșată, cu grosime mai mare decât țesutul cutanat înconjurător, Localizare frecventă în zona axilară, zona cervicală (ceafă) și zona
               inghinală, Aspect catifelat al plăcilor hiperpigmentate, Prurit (mâncărime) ocazional, Plăci palpabile (în evoluție), Afectarea mucoaselor (cavității orale, nazale, laringiene, esofag) -
               ocazional, Afectarea zonei mamelonare - ocazional, Leziuni papilomatoase ale pleoapelor și conjunctivei - ocazional, Leukonichia (pete albe pe unghii) - rar, Hiperkeratoza unghială - rar, Alungirea papilelor filiforme ale limbii (în forma malignă), Leziuni papilare la nivelul comisurilor bucale (în forma malignă), Leziunile orale sunt rareori hiperpigmentate, Apariție rapidă și extinsă a leziunilor (sugestiv pentru forma malignă)"
Acatisia,"senzatia neplacuta de neliniste interioara, imposibilitatea de a sta linistit, imposibilitatea de a nu se misca, senzatia de neliniste, anxietate, disconfort sever mai ales la genunchi, apăsarea genunchilor sau statul în genunchi ore întregi, durere neuropatica (asociată), fibromialgie (asociată), sindrom al picioarelor nelinistite (asociat)"
Accident ischemic tranzitor,"Slăbiciune, senzație de amorțeală sau paralizie a unui hemicorp (tipic
               cu afectarea feței și a membrelor superioare), Asimetria gurii, Dificultatea de a menține ambele brațe ridicate, Tulburări de vorbire (dizartrie, afazie/disfazie, vorbire explozivă,
               sacadată), Tulburări de înțelegere a limbajului, Cecitate (orbire) tranzitorie la nivelul unui ochi (amaurosis fugax) sau
               a ambilor ochi, Amețeală, Cefalee severă fără o cauză aparentă, Tulburări de motilitate oculară, Închidere incompletă a pleoapelor, Dificultăți la înghițire (disfagie), Devierea laterală a limbii, Deficite de câmp vizual, Hipotonie musculară, Tremor intențional, Nistagmus, Tulburări de scris, Ataxie cerebeloasă (mers nesigur, neregulat, cu bază largă de
               susținere)"
Accident vascular cerebral (AVC),"Pierderea rapida a functiei cerebrale, Paralizia membrelor din jumatatea dreapta sau stanga a corpului
               (hemiplegie), Imposibilitatea de a intelege sau a formula cuvintele (afazie), Imposibilitatea de a vedea intr-un cadran al campului vizual, Debut brusc (în câteva secunde sau minute), Cefalee (mai ales în hemoragia subarahnoidiana, tromboza venoasa
               cerebrala, hemoragia intracerebrala), Slabiciune faciala brusca, Paralizia/slăbiciunea bratului, Vorbire anormala (dizartrie), Parestezii (furnicături), Reducerea sensibilitatii sau a senzatiei vibratorii, Flasciditate initiala (hipotonie), Simptome unilaterale (afectează doar o parte a corpului), Alterarea mirosului, a gustului, auzului sau a vederii (totala sau
               partiala), Ptoza pleoapei si slabiciunea muschilor orbiculari, Diminuarea reflexelor: deglutitia, tusea, reactivitatea pupilei la
               lumina, Diminuarea sensibilitatii si slabiciunea muschilor faciali, Probleme ale echilibrului, Nistagmus, Frecventa respiratorie si cardiaca anormale, Slabiciunea muschiului sternocleidomastoidian (imposibilitatea de a
               intoarce capul in lateral), Slabiciunea limbii, Apraxia (miscari voluntare alterate), Defecte ale campului vizual, Deficite ale memoriei (afectarea lobului temporal), Gândire dezorganizata, Confuzie, Gesturi hipersexuale (afectarea lobului frontal), Tulburari ale echilibrului in mers, Afectarea coordonarii miscarilor, Vertij, Dezechilibru"
Aceruloplasminemia,"Acumularea de cantități mari de fier la nivelul creierului și al altor
               organe interne, Probleme locomotorii: distonia, tremurul, coreea, blefarospasmul, Tulburări ale coordonării (ataxie), Probleme de natură psihiatrică, Declin intelectual (demență), apărut în general în jurul vârstei de
               40-50 de ani, Diabet zaharat (mellitus), Hiperglicemie, Poliurie, Glicozurie, Polidipsie, Polifagie, Modificări la nivelul retinei (mici puncte sau arii opace, atrofie
               retiniană), Degenerarea retinei (nu afectează neapărat vederea inițial), Anemie moderată (scăderea numărului de globule roșii), Oboseală, Slăbiciune, Paloare, Scurtarea respirației"
Acid folic scăzut,"Fatigabilitate, Inapetență, Slăbiciune musculară, Scădere în greutate, Diaree, Constipație, Glosită, Tahicardie, Tulburări de concentrare, Iritabilitate, Depresie, Demență, Anemie megaloblastică"
Acidoza lactica,"Hipotensiune severă, Oligurie, Anurie (lipsa urinarii), Deteriorarea statusului mental, Tahipnee, Alterarea senzoriului, Vasoconstricție periferică, Hiperventilație Kussmaul (respirație Kussmaul), Febră peste 38 de grade Celsius, Hipotermie (sub 35 de grade Celsius), Dispnee, Scăderea contractilității diafragmului, Scăderea responsivității la catecolamine, Scăderea pragului fibrilației, Scăderea contractilității cardiace (la pH mai mic de 7.1), Creșterea contractilității și a frecvenței cardiace (la pH > 7,2)"
Acidoza metabolica,"Hiperventilatie (compensatorie), Dispnee (diverse grade), Greata (mai ales la copii), Varsaturi (mai ales la copii), Scaderea apetitului (mai ales la copii), Tahipnee, Hiperpnee, Respiratie Kussmaul (efort respirator intens), Tinitus (în intoxicația cu salicilați), Vedere încețoșată (în intoxicația cu salicilați), Vertigo (în intoxicația cu salicilați), Anomalii vizuale (în intoxicația cu metanol), Fotofobie (în intoxicația cu metanol), Scotoame (în intoxicația cu metanol), Edem retinian (în intoxicația cu metanol), Orbire (în intoxicația cu metanol), Paralizii ale nervilor cranieni (în intoxicația cu etilenglicol), Letargie, Stupor, Coma (mai ales în intoxicații), Cefalee, Confuzie, Aritmii ventriculare, Contractilitate cardiacă redusă, Răspuns inotropic la catecolamine redus, Hipotensiune, Insuficiență cardiacă congestivă, Palpitații, Angină, Durere abdominală, Polifagie, Diaree, Slăbiciune musculară generalizată, Fracturi, Durere osoasă, Sete, Poliurie, Durere epigastrică (în cetoacidoza diabetică), Anorexie, Prurit (în insuficiența renală)"
Acidoza respiratorie,"dispnee, wheezing, cianoză (în cazul hipoxemiei severe), agitație, somnolență, neliniște, cefalee, comă (în cazurile grave), hipertensiune intracraniană (din narcoza prin dioxid de carbon), hipoventilație alveolară"
Acidoza tubulară renală,"Osteomalacie / demineralizare osoasă, Nefrocalcinoză, Infecții de tract urinar recurente, Constipație (semn de hipokaliemie), Slăbiciune musculară (semn de hipokaliemie), Crampe musculare (semn de hipokaliemie), Aritmii (semn de hipokaliemie), Astenie (semn de hipokaliemie), Paralizii (semn de hipokaliemie), Întârziere / stagnare a creșterii (la copii), Glicozurie (în sindrom Fanconi / ATR tip 2), Fosfaturie (în sindrom Fanconi / ATR tip 2), Uricozurie (în sindrom Fanconi / ATR tip 2), Aminoacidurie (în sindrom Fanconi / ATR tip 2), Proteinurie (în sindrom Fanconi / ATR tip 2), Litiază renală, Osteopenie (în ATR tip 2), Osteoporoză (în ATR tip 3), Calcificări cerebrale (în ATR tip 3), Întârzierea dezvoltării (în ATR tip 3), Dismorfism facial (în ATR tip 3), Surditate (în ATR tip 3), Afectare cognitivă (în ATR tip 3), Hipotensiune arterială (în pseudohipoaldosteronism tip 1), Hiponatremie (în pseudohipoaldosteronism tip 1), Creșterea excreției de sodiu (în pseudohipoaldosteronism tip 1), Hipertensiune arterială (în pseudohipoaldosteronism tip 2), Acidoză metabolică hipercloremică cu gaură anionică normală, Hipokaliemie (în ATR tip 1 și 2), pH urinar > 5,3 (în ATR tip 1), pH urinar crescut (inițial, în ATR tip 2), Hiperkaliemie (în ATR tip 4)"
Acidoza tubulară renală la copil,"falimentul creşterii, poliurie, constipaţie, vărsături, deshidratare, rahitism, slăbiciune musculara, scăderea capacităţii de concentrare a urinei, paralizie (care poate duce la stop respirator), aritmie cardiacă, surditate/hipoacuzie, osteoporoză, calcificări intracerebrale, retardare mintală, fracturi osoase, dismorfism facial, cecitate (datorată compresiei nervilor oculari), Hiperpotasemie, Hiponatremie"
Aclorhidria si hipoclorhidria,"Incapacitatea de a digera adecvat alimentele, Malabsorbție generală a proteinelor, Risc crescut de osteoporoză, Incapacitatea de a absorbi microelemente (zinc, magneziu, calciu, fier,
               seleniu etc.), Incapacitatea de a steriliza conținutul gastric, Suprapopulare cu microorganisme patogene (bacterii, Candida albicans), Risc crescut de infecții enterice (virusuri Epstein-Barr, Coxsackie,
               Echovirus), Fermentarea alimentelor în stomac, Acumulare de gaze intestinale, Producție de alcooli toxici în tractul digestiv, Malabsorbția vitaminei B12, Îmbătrânire accelerată (datorită malabsorbției), Balonare, Distensie abdominală, Flatulență, Tendință la alergii alimentare, Boală de reflux gastro-esofagian, Anemie prin deficiență de fier, Anemie prin deficiență de vitamina B12, Disbioză (candidozică sau bacteriană), Scaune urât mirositoare, Acnee la adulți, Eczeme, Pete albe unghiale, Somnolență după masă, Artrită reumatoidă (declanșată), Sațietate precoce, Scădere ponderală, Zgomote hidro-aerice intestinale frecvente, Disconfort abdominal, Manifestări neurologice (din suprapopulare bacteriană): modificări
               vizuale, parestezii, ataxie, slăbiciune musculară, pierderi de memorie, halucinații,
               modificări ale personalității și comportamentului"
Acneea - cosurile,"Leziuni retentionale (comedoane - puncte negre sau albe, microchisturi,
               macrochisturi), Leziuni inflamatorii (papule - leziuni roșii, reliefate; pustule -
               leziuni cu puroi), Piele seboreică (grasă), Leziuni ulcero-hemoragice (în acneea fulminans), Leziuni necrotice (în acneea fulminans), Febră (în acneea fulminans), Polialtralgii - dureri articulare multiple (în acneea fulminans), Alterarea stării generale (în acneea fulminans), Proteinurie (proteine în urină - în acneea fulminans), Complexe imune circulante (în acneea fulminans), Polinucleoză (creșterea numărului de globule albe polinucleare - în
               acneea fulminans), Debut inflamator brutal, mai ales în zona nasului și obrajilor (în
               piodermita facială), Chisturi și tuneluri din care iese puroi (în acneea conglobată), Leziuni escoriate (zgâriate, provocate prin manipularea coșurilor)"
Acneea juvenila,"comedoane (puncte negre), papule inflamatorii (denivelari de culoare rosie la nivelul pielii), pustule (colectii purulente), noduli, seboree"
